央视频道,#genre#
CCTV1,http://221.212.214.12:8901/rtp/229.58.190.151:5000
CCTV5,http://221.212.214.12:8901/rtp/229.58.190.60:5000
CCTV8,http://221.212.214.12:8902/rtp/229.58.190.63:5000
CCTV9,http://221.212.214.12:8902/rtp/229.58.190.156:5000
CCTV12,http://221.212.214.12:8902/rtp/229.58.190.158:5000
CCTV风云音乐,http://221.212.214.12:8901/rtp/229.58.190.188:5000
CCTV风云音乐,http://221.212.214.12:8902/rtp/229.58.190.188:5000
CCTV世界地理,http://221.212.214.12:8901/rtp/229.58.190.175:5000
CCTV央视精品,http://221.212.214.12:8902/rtp/229.58.190.57:5000
CCTV风云足球,http://221.212.214.12:8901/rtp/229.58.190.190:5000
CCTV风云足球,http://221.212.214.12:8902/rtp/229.58.190.190:5000
CCTV怀旧剧场,http://221.212.214.12:8902/rtp/229.58.190.78:5000
CCTV女性时尚,http://221.212.214.12:8901/rtp/229.58.190.187:5000
CCTV女性时尚,http://221.212.214.12:8901/rtp/229.58.190.195:5000
CCTV女性时尚,http://221.212.214.12:8902/rtp/229.58.190.195:5000
CCTV央视台球,http://221.212.214.12:8902/rtp/229.58.190.193:5000
CCTV风云足球,http://221.212.214.12:8901/rtp/229.58.190.190:5000
CCTV风云足球,http://221.212.214.12:8902/rtp/229.58.190.190:5000
CCTV电视指南,http://221.212.214.12:8901/rtp/229.58.190.191:5000
CCTV电视指南,http://221.212.214.12:8901/rtp/229.58.190.25:5000
CCTV电视指南,http://221.212.214.12:8902/rtp/229.58.190.191:5000

卫视频道,#genre#
安徽卫视,http://221.212.214.12:8902/rtp/229.58.190.162:5000
广东卫视,http://221.212.214.12:8902/rtp/229.58.190.53:5000
深圳卫视,http://221.212.214.12:8901/rtp/229.58.190.52:5000
深圳卫视,http://221.212.214.12:8902/rtp/229.58.190.52:5000
辽宁卫视,http://221.212.214.12:8901/rtp/229.58.190.51:5000
天津卫视,http://221.212.214.12:8902/rtp/229.58.190.161:5000
河北卫视,http://221.212.214.12:8902/rtp/229.58.190.209:5000
黑龙江卫视,http://221.212.214.12:8902/rtp/229.58.190.150:5000
河南卫视,http://221.212.214.12:8902/rtp/229.58.190.103:5000
吉林卫视,http://221.212.214.12:8901/rtp/229.58.190.214:5000
吉林卫视,http://221.212.214.12:8902/rtp/229.58.190.214:5000
四川卫视,http://221.212.214.12:8901/rtp/229.58.190.38:5000
金鹰卡通,http://221.212.214.12:8902/rtp/229.58.190.98:5000

影视频道,#genre#
黑龙江影视,http://221.212.214.12:8901/rtp/229.58.190.14:5000
黑龙江影视,http://221.212.214.12:8902/rtp/229.58.190.14:5000

数字频道,#genre#
梨园频道,http://221.212.214.12:8902/rtp/229.58.190.87:5000
早期教育,http://221.212.214.12:8901/rtp/229.58.190.174:5000
早期教育,http://221.212.214.12:8902/rtp/229.58.190.174:5000
茶频道,http://221.212.214.12:8901/rtp/229.58.190.111:5000
茶频道,http://221.212.214.12:8902/rtp/229.58.190.111:5000
快乐垂钓,http://221.212.214.12:8901/rtp/229.58.190.113:5000
游戏风云,http://221.212.214.12:8902/rtp/229.58.190.114:5000

其他频道,#genre#
东方财经,http://221.212.214.12:8901/rtp/229.58.190.105:5000
佳木斯新闻,http://221.212.214.12:8902/rtp/229.58.190.163:5000
家庭理财,http://221.212.214.12:8901/rtp/229.58.190.106:5000
家庭理财,http://221.212.214.12:8902/rtp/229.58.190.106:5000
汽摩,http://221.212.214.12:8901/rtp/229.58.190.85:5000
法治天地,http://221.212.214.12:8901/rtp/229.58.190.110:5000
直播室3,http://221.212.214.12:8901/rtp/229.58.190.31:5000
直播室4,http://221.212.214.12:8901/rtp/229.58.190.75:5000
直播室7,http://221.212.214.12:8902/rtp/229.58.190.77:5000
纪实人文,http://221.212.214.12:8902/rtp/229.58.190.102:5000
黑龙江农业,http://221.212.214.12:8901/rtp/229.58.190.7:5000
黑龙江农业,http://221.212.214.12:8902/rtp/229.58.190.7:5000
黑龙江少儿,http://221.212.214.12:8902/rtp/229.58.190.39:5000
黑龙江文体,http://221.212.214.12:8901/rtp/229.58.190.30:5000
齐齐哈尔经济,http://221.212.214.12:8902/rtp/229.58.190.192:5000

更新时间,#genre#
2024-03-28_06:09:05,https://taoiptv.com/time.mp4
