央视频道,#genre#
CCTV2,http://180.143.83.235:8181/tsfile/live/0002_1.m3u8?key=txiptv
CCTV4,http://180.143.83.235:8181/tsfile/live/0004_1.m3u8?key=txiptv
CCTV7,http://180.143.83.235:8181/tsfile/live/0007_1.m3u8?key=txiptv
CCTV10,http://180.143.83.235:8181/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://180.143.83.235:8181/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://180.143.83.235:8181/tsfile/live/0012_1.m3u8?key=txiptv
CCTV15,http://180.143.83.235:8181/tsfile/live/0015_1.m3u8?key=txiptv
CCTV风云剧场,http://180.143.83.235:8181/tsfile/live/0113_1.m3u8?key=txiptv

卫视频道,#genre#
江苏卫视,http://180.143.83.235:8181/tsfile/live/0127_1.m3u8?key=txiptv
广东卫视,http://180.143.83.235:8181/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://180.143.83.235:8181/tsfile/live/0126_1.m3u8?key=txiptv
广西卫视,http://116.9.204.242:9901/tsfile/live/0113_1.m3u8?key=txiptv
江西卫视,http://180.143.83.235:8181/tsfile/live/0138_1.m3u8?key=txiptv

影视频道,#genre#
广西影视,http://116.9.204.242:9901/tsfile/live/0124_1.m3u8?key=txiptv

其他频道,#genre#
佛山影视,http://180.143.83.235:8181/tsfile/live/0139_1.m3u8?key=txiptv
广州台,http://180.143.83.235:8181/tsfile/live/0115_1.m3u8?key=txiptv
广州影视,http://180.143.83.235:8181/tsfile/live/0131_1.m3u8?key=txiptv
广西公共,http://116.9.204.242:9901/tsfile/live/1003_1.m3u8?key=txiptv
广西新闻,http://116.9.204.242:9901/tsfile/live/1001_1.m3u8?key=txiptv
广西旅游,http://116.9.204.242:9901/tsfile/live/0125_1.m3u8?key=txiptv
广西都市,http://116.9.204.242:9901/tsfile/live/1002_1.m3u8?key=txiptv

更新时间,#genre#
2024-03-27_06:06:26,https://taoiptv.com/time.mp4
