央视频道,#genre#
CCTV1,http://27.11.49.156:8010/rtp/225.0.4.74:7980
CCTV1,http://27.11.62.175:8008/rtp/225.0.4.74:7980
CCTV2,http://27.11.49.156:8010/rtp/225.0.4.132:7980
CCTV2,http://27.11.62.175:8008/rtp/225.0.4.132:7980
CCTV3,http://27.11.49.156:8010/rtp/225.0.4.142:7980
CCTV3,http://27.11.62.175:8008/rtp/225.0.4.142:7980
CCTV4,http://27.11.49.156:8010/rtp/225.0.4.176:7980
CCTV4,http://27.11.62.175:8008/rtp/225.0.4.176:7980
CCTV5,http://27.11.62.175:8008/rtp/225.0.4.143:7980
CCTV5+,http://27.10.72.86:8002/rtp/225.0.4.73:7980
CCTV5+,http://27.11.49.156:8010/rtp/225.0.4.73:7980
CCTV5+,http://27.11.62.175:8008/rtp/225.0.4.73:7980
CCTV6,http://27.11.49.156:8010/rtp/225.0.4.144:7980
CCTV6,http://27.11.62.175:8008/rtp/225.0.4.144:7980
CCTV7,http://27.11.62.175:8008/rtp/225.0.4.127:7980
CCTV8,http://27.11.62.175:8008/rtp/225.0.4.137:7980
CCTV9,http://27.11.62.175:8008/rtp/225.0.4.131:7980
CCTV10,http://27.11.49.156:8010/rtp/225.0.4.130:7980
CCTV10,http://27.11.62.175:8008/rtp/225.0.4.130:7980
CCTV11,http://27.11.49.156:8010/rtp/225.0.4.218:7980
CCTV11,http://27.11.62.175:8008/rtp/225.0.4.218:7980
CCTV12,http://27.11.49.156:8010/rtp/225.0.4.129:7980
CCTV12,http://27.11.62.175:8008/rtp/225.0.4.129:7980
CCTV13,http://27.10.72.86:8002/rtp/225.0.4.219:7980
CCTV13,http://27.11.49.156:8010/rtp/225.0.4.219:7980
CCTV13,http://27.11.62.175:8008/rtp/225.0.4.219:7980
CCTV14,http://27.11.49.156:8010/rtp/225.0.4.128:7980
CCTV14,http://27.11.62.175:8008/rtp/225.0.4.128:7980
CCTV15,http://27.11.49.156:8010/rtp/225.0.4.220:7980
CCTV15,http://27.11.62.175:8008/rtp/225.0.4.220:7980
CCTV17,http://27.11.49.156:8010/rtp/225.0.4.179:7980
CCTV17,http://27.11.62.175:8008/rtp/225.0.4.179:7980

卫视频道,#genre#
湖南卫视,http://27.11.49.156:8010/rtp/225.0.4.75:7980
湖南卫视,http://27.11.62.175:8008/rtp/225.0.4.75:7980
浙江卫视,http://27.11.49.156:8010/rtp/225.0.4.81:7980
浙江卫视,http://27.11.62.175:8008/rtp/225.0.4.81:7980
江苏卫视,http://27.11.49.156:8010/rtp/225.0.4.79:7980
江苏卫视,http://27.11.62.175:8008/rtp/225.0.4.79:7980
北京卫视,http://27.11.62.175:8008/rtp/225.0.4.78:7980
东方卫视,http://27.11.49.156:8010/rtp/225.0.4.80:7980
安徽卫视,http://27.11.49.156:8010/rtp/225.0.4.133:7980
安徽卫视,http://27.11.62.175:8008/rtp/225.0.4.133:7980
广东卫视,http://27.11.49.156:8010/rtp/225.0.4.84:7980
广东卫视,http://27.11.62.175:8008/rtp/225.0.4.84:7980
深圳卫视,http://27.11.62.175:8008/rtp/225.0.4.202:7980
辽宁卫视,http://27.11.62.175:8008/rtp/225.0.4.98:7980
山东卫视,http://27.11.62.175:8008/rtp/225.0.4.199:7980
天津卫视,http://27.11.62.175:8008/rtp/225.0.4.82:7980
重庆卫视,http://27.11.49.156:8010/rtp/225.0.4.187:7980
贵州卫视,http://27.11.62.175:8008/rtp/225.0.4.175:7980
河北卫视,http://27.11.49.156:8010/rtp/225.0.4.174:7980
河北卫视,http://27.11.62.175:8008/rtp/225.0.4.174:7980
黑龙江卫视,http://27.11.49.156:8010/rtp/225.0.4.201:7980
黑龙江卫视,http://27.11.62.175:8008/rtp/225.0.4.201:7980

影视频道,#genre#
重庆影视,http://27.10.72.86:8002/rtp/225.0.4.192:7980
重庆影视,http://27.11.49.156:8010/rtp/225.0.4.192:7980

其他频道,#genre#
CQTV移动4K,http://27.11.49.156:8010/rtp/225.0.4.215:7980
CQTV移动4K,http://27.11.62.175:8008/rtp/225.0.4.215:7980
时尚购物4K,http://27.10.72.86:8002/rtp/225.0.4.198:7980
纪实,http://27.11.49.156:8010/rtp/225.0.4.99:7980
纪实,http://27.11.62.175:8008/rtp/225.0.4.99:7980
重庆娱乐4K,http://27.11.49.156:8010/rtp/225.0.4.194:7980
重庆娱乐4K,http://27.11.62.175:8008/rtp/225.0.4.194:7980
重庆少儿4K,http://27.11.62.175:8008/rtp/225.0.4.191:7980
重庆新农村4K,http://27.11.49.156:8010/rtp/225.0.4.189:7980
重庆新闻4K,http://27.11.49.156:8010/rtp/225.0.4.188:7980
重庆新闻4K,http://27.11.62.175:8008/rtp/225.0.4.188:7980
重庆时尚生活4K,http://27.11.62.175:8008/rtp/225.0.4.196:7980
重庆汽摩4K,http://27.10.72.86:8002/rtp/225.0.4.195:7980
重庆汽摩4K,http://27.11.62.175:8008/rtp/225.0.4.195:7980
重庆社会与法4K,http://27.10.72.86:8002/rtp/225.0.4.190:7980
重庆社会与法4K,http://27.11.62.175:8008/rtp/225.0.4.190:7980
重庆科教4K,http://27.11.49.156:8010/rtp/225.0.4.193:7980

更新时间,#genre#
2024-03-28_18:12:04,https://taoiptv.com/time.mp4
