央视频道,#genre#
CCTV1,http://116.55.173.154:4000/rtp/239.200.201.135:8880
CCTV1,http://116.55.176.74:4000/rtp/239.200.201.135:8880
CCTV1,http://116.55.179.94:4000/rtp/239.200.201.135:8880
CCTV4,http://116.55.173.154:4000/rtp/239.200.200.128:8652
CCTV4,http://116.55.176.74:4000/rtp/239.200.200.128:8652
CCTV4,http://116.55.179.94:4000/rtp/239.200.200.128:8652
CCTV5,http://116.55.173.154:4000/rtp/239.200.201.5:4120
CCTV5,http://116.55.176.74:4000/rtp/239.200.201.5:4120
CCTV6,http://116.55.173.154:4000/rtp/239.200.200.21:9020
CCTV6,http://116.55.179.94:4000/rtp/239.200.200.21:9020
CCTV7,http://116.55.173.154:4000/rtp/239.200.200.105:8104
CCTV7,http://116.55.176.74:4000/rtp/239.200.200.105:8104
CCTV7,http://116.55.179.94:4000/rtp/239.200.200.105:8104
CCTV8,http://116.55.173.154:4000/rtp/239.200.200.23:9028
CCTV8,http://116.55.176.74:4000/rtp/239.200.200.23:9028
CCTV8,http://116.55.179.94:4000/rtp/239.200.200.23:9028
CCTV9,http://116.55.173.154:4000/rtp/239.200.200.106:8112
CCTV9,http://116.55.176.74:4000/rtp/239.200.200.106:8112
CCTV9,http://116.55.179.94:4000/rtp/239.200.200.106:8112
CCTV12,http://116.55.173.154:4000/rtp/239.200.200.108:8124
CCTV12,http://116.55.176.74:4000/rtp/239.200.200.108:8124
CCTV14,http://116.55.173.154:4000/rtp/239.200.200.109:8132
CCTV14,http://116.55.179.94:4000/rtp/239.200.200.109:8132
CCTV16,http://116.55.176.74:4000/rtp/239.200.200.193:8776
CCTV16,http://116.55.179.94:4000/rtp/239.200.200.193:8776
CCTV17,http://116.55.173.154:4000/rtp/239.200.201.128:8504
CCTV17,http://116.55.176.74:4000/rtp/239.200.201.128:8504
CCTV17,http://116.55.179.94:4000/rtp/239.200.201.128:8504
CCTV世界地理,http://116.55.173.154:4000/rtp/239.200.200.130:8012
CCTV世界地理,http://116.55.176.74:4000/rtp/239.200.200.130:8012
CCTV世界地理,http://116.55.179.94:4000/rtp/239.200.200.130:8012
CCTV兵器科技,http://116.55.176.74:4000/rtp/239.200.200.91:8036
CCTV兵器科技,http://116.55.179.94:4000/rtp/239.200.200.91:8036
CCTV高网频道,http://116.55.173.154:4000/rtp/239.200.200.89:8024
CCTV高网频道,http://116.55.179.94:4000/rtp/239.200.200.89:8024
CCTV怀旧剧场,http://116.55.173.154:4000/rtp/239.200.200.85:8032
CCTV怀旧剧场,http://116.55.176.74:4000/rtp/239.200.200.85:8032
CCTV怀旧剧场,http://116.55.179.94:4000/rtp/239.200.200.85:8032

卫视频道,#genre#
浙江卫视,http://116.55.173.154:4000/rtp/239.200.200.141:8724
浙江卫视,http://116.55.179.94:4000/rtp/239.200.200.141:8724
江苏卫视,http://116.55.176.74:4000/rtp/239.200.200.7:8028
安徽卫视,http://116.55.173.154:4000/rtp/239.200.200.129:8720
安徽卫视,http://116.55.176.74:4000/rtp/239.200.200.129:8720
