湖南台,#genre#
湖南爱晚,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPWJkMThlYzg5Y2Y1NWZmNGMwMDIyNzM3MDU5YmJiMTFjJmVzPTE3MTM2OTkwMDUmdXVpZD04OWE1MjczZDM4MDk0ZmE0NGM5YzkwOGIyZTg3NGYzMi02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD10eF9waG9uZV9saXZl/HNGGMPP360.m3u8
湖南都市,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPTg0ZGI2MjJhMmNkYmVhMmVlYzUwNWRlZjY2Nzc1ZGRkJmVzPTE3MTM2OTk3OTImdXVpZD0xMjFlN2Q4NWVkMTVhNWZmMGI4YjZiZjhmMWMxYzBkMS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD10eF9waG9uZV9saXZl/HNDSMPP360.m3u8
湖南娱乐频道,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPWI2NzBkZDk4ZDZhN2UxNmJkMWJmNzI3ZmI2MDY2YzQyJmVzPTE3MTM2OTEyNzYmdXVpZD0zYzhkODU5MmI1MTQxZjMyYTFjNDQ5Yzg1NjVmZDJiMy02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD13c19waG9uZTM,/HNYLMPP360.m3u8
湖南经视,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPWQzZWFkNWFmZTI4YTAyZjUxMTUyMjA4YmUxYjFkZjk2JmVzPTE3MTM2OTg2NzUmdXVpZD1iYTU0MmExZjA1ZWViYzI1N2I1NmYwZGUwYTA2MzM5MS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD13c19waG9uZTM,/HNJSMPP360.m3u8
金鹰纪实频道,https://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPTUwYTRkYThjNTZiZTUxM2YyY2ZhNzAwZmYxMTg3ZjQ1JmVzPTE3MTM3MDgwMTgmdXVpZD1hZDM4MDNkY2ZlMmM5OTk5MzI2ZWJjYjJjYmQzYmY2Ni02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD13c19waG9uZTM,/JYJSMPP360.m3u8
金鹰卡通,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPTcxZjQ5OGU4ZjUxMjdjMWZmNzc4ZjFjNjhlYWI3ZWY2JmVzPTE3MTM2ODc0OTcmdXVpZD01MDIzNTI0MzY0MjE5MzcxNDU3MGRhNzNjOWE1MDhmMS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD1xcV9waG9uZV9saXZl/JYKTMPP360.m3u8
湖南国际频道,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPWIzYmZjNmY5ZjA0MjBlNWQ1ZTA4OTE2Zjc0Nzc2ZTliJmVzPTE3MTM3MTM0MjQmdXVpZD05Nzg4YWI4YmVhMGY5NTczNzJjZTRmMTdmNTdmOWE4ZS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD1od19waG9uZQ,,/HNGJMPP360.m3u8
湖南电视剧,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPTAwMzMxZmExYTA0NzYyY2NlYWE4ZGYxOTUxNWJhNDU2JmVzPTE3MTM2ODg2MTgmdXVpZD1kNzIxNjY3OTE0YThkNjMyYmE4ZjkzMjVjMjEyM2I4OS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD10eF9waG9uZV9saXZl/HNDSJMPP360.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPWQ5MDZkZDM3ZDlmMzFlZDQzYWQ4ZjdjOWQxYWZmMjRmJmVzPTE3MTM2OTkwMzImdXVpZD00MjkyZmE3MjcwNmJlNGY4YWJkZWNlZjQ2YjRmMjY0Yi02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD1xcV9waG9uZV9saXZl/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

港澳台,#genre#
澳门卫视,http://61.244.22.4/ch1/ch1.live/playlist.m3u8
Pet_Club_TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
Bloomberg_TV_Asia,http://210.210.155.37/dr9445/h/h03/index.m3u8
KIX,http://210.210.155.37/dr9445/h/h07/index.m3u8
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
Celestial_Movies,http://210.210.155.37/dr9445/h/h14/index.m3u8
