Undefined,#genre#
CCTV1,http://180.164.40.181:2222/udp/239.45.3.88:5140
CCTV2,http://180.164.40.181:2222/udp/239.45.0.1:5140
CCTV3,http://180.164.40.181:2222/udp/239.45.1.68:5140
CCTV4,http://180.164.40.181:2222/udp/239.45.0.2:5140
CCTV5,http://180.164.40.181:2222/udp/239.45.1.69:5140
CCTV5+,http://180.164.40.181:2222/udp/239.45.0.34:5140
CCTV6,http://180.164.40.181:2222/udp/239.45.1.70:5140
CCTV7,http://180.164.40.181:2222/udp/239.45.3.56:5140
CCTV8,http://180.164.40.181:2222/udp/239.45.1.71:5140
CCTV9,http://180.164.40.181:2222/udp/239.45.3.4:5140
CCTV10,http://180.164.40.181:2222/udp/239.45.3.8:5140
CCTV11,http://180.164.40.181:2222/udp/239.45.0.18:5140
CCTV12,http://180.164.40.181:2222/udp/239.45.3.10:5140
CCTV13,http://180.164.40.181:2222/udp/239.45.0.19:5140
CCTV14,http://180.164.40.181:2222/udp/239.45.3.23:5140
CCTV15,http://180.164.40.181:2222/udp/239.45.0.20:5140
CCTV16,http://180.164.40.181:2222/udp/239.45.0.10:5140
CCTV17,http://180.164.40.181:2222/udp/239.45.3.52:5140
安徽卫视,http://180.164.40.181:2222/udp/239.45.3.143:5140
北京卫视,http://180.164.40.181:2222/udp/239.45.3.229:5140
兵团卫视,http://180.164.40.181:2222/udp/239.45.1.117:5140
东方卫视,http://180.164.40.181:2222/udp/239.45.3.61:5140
东南卫视,http://180.164.40.181:2222/udp/239.45.1.121:5140
甘肃卫视,http://180.164.40.181:2222/udp/239.45.0.15:5140
广东卫视,http://180.164.40.181:2222/udp/239.45.3.230:5140
广西卫视,http://180.164.40.181:2222/udp/239.45.0.5:5140
贵州卫视,http://180.164.40.181:2222/udp/239.45.1.80:5140
海南卫视,http://180.164.40.181:2222/udp/239.45.1.81:5140
河北卫视,http://180.164.40.181:2222/udp/239.45.1.44:5140
河南卫视,http://180.164.40.181:2222/udp/239.45.0.3:5140
黑龙江卫视,http://180.164.40.181:2222/udp/239.45.3.232:5140
湖北卫视,http://180.164.40.181:2222/udp/239.45.3.239:5140
湖南卫视,http://180.164.40.181:2222/udp/239.45.3.228:5140
吉林卫视,http://180.164.40.181:2222/udp/239.45.0.6:5140
江苏卫视,http://180.164.40.181:2222/udp/239.45.3.177:5140
江西卫视,http://180.164.40.181:2222/udp/239.45.1.122:5140
辽宁卫视,http://180.164.40.181:2222/udp/239.45.1.123:5140
内蒙古卫视,http://180.164.40.181:2222/udp/239.45.1.238:5140
青海卫视,http://180.164.40.181:2222/udp/239.45.0.37:5140
三沙卫视,http://180.164.40.181:2222/udp/239.45.0.56:5140
山东卫视,http://180.164.40.181:2222/udp/239.45.3.238:5140
山西卫视,http://180.164.40.181:2222/udp/239.45.1.229:5140
陕西卫视,http://180.164.40.181:2222/udp/239.45.1.232:5140
深圳卫视,http://180.164.40.181:2222/udp/239.45.3.231:5140
四川康巴卫视,http://180.164.40.181:2222/udp/239.45.1.251:5140
四川卫视,http://180.164.40.181:2222/udp/239.45.1.83:5140
天津卫视,http://180.164.40.181:2222/udp/239.45.1.124:5140
西藏卫视,http://180.164.40.181:2222/udp/239.45.1.231:5140
新疆卫视,http://180.164.40.181:2222/udp/239.45.1.116:5140
延边卫视,http://180.164.40.181:2222/udp/239.45.0.39:5140
云南卫视,http://180.164.40.181:2222/udp/239.45.0.4:5140
浙江卫视,http://180.164.40.181:2222/udp/239.45.3.178:5140
重庆卫视,http://180.164.40.181:2222/udp/239.45.1.84:5140
北京纪实科教,http://180.164.40.181:2222/udp/239.45.1.14:5140
茶频道,http://180.164.40.181:2222/udp/239.45.3.18:5140
都市剧场,http://180.164.40.181:2222/udp/239.45.3.136:5140
纪实人文,http://180.164.40.181:2222/udp/239.45.3.212:5140
七彩戏剧,http://180.164.40.181:2222/udp/239.45.0.16:5140
华视,rtmp://f13h.mine.nu/sat/tv111
中视,rtmp://f13h.mine.nu/sat/tv091
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
