央视频道,#genre#
CCTV1,https://taoiptv.com/iptv.php?id=100100&sign=310102
CCTV2,https://taoiptv.com/iptv.php?id=100200&sign=310102
CCTV3,https://taoiptv.com/iptv.php?id=100300&sign=310102
CCTV4,https://taoiptv.com/iptv.php?id=100400&sign=310102
CCTV4K,https://taoiptv.com/iptv.php?id=100500&sign=310102
CCTV5,https://taoiptv.com/iptv.php?id=100800&sign=310102
CCTV5+,https://taoiptv.com/iptv.php?id=100900&sign=310102
CCTV6,https://taoiptv.com/iptv.php?id=101000&sign=310102
CCTV7,https://taoiptv.com/iptv.php?id=101100&sign=310102
CCTV8,https://taoiptv.com/iptv.php?id=101200&sign=310102
CCTV8K,https://taoiptv.com/iptv.php?id=101300&sign=310102
CCTV9,https://taoiptv.com/iptv.php?id=101400&sign=310102
CCTV10,https://taoiptv.com/iptv.php?id=101500&sign=310102
CCTV11,https://taoiptv.com/iptv.php?id=101600&sign=310102
CCTV12,https://taoiptv.com/iptv.php?id=101700&sign=310102
CCTV13,https://taoiptv.com/iptv.php?id=101800&sign=310102
CCTV14,https://taoiptv.com/iptv.php?id=101900&sign=310102
CCTV15,https://taoiptv.com/iptv.php?id=102000&sign=310102
CCTV16,https://taoiptv.com/iptv.php?id=102100&sign=310102
CCTV17,https://taoiptv.com/iptv.php?id=102200&sign=310102

卫视频道,#genre#
湖南卫视,https://taoiptv.com/iptv.php?id=200100&sign=310102
浙江卫视,https://taoiptv.com/iptv.php?id=200200&sign=310102
江苏卫视,https://taoiptv.com/iptv.php?id=200300&sign=310102
北京卫视,https://taoiptv.com/iptv.php?id=200400&sign=310102
东方卫视,https://taoiptv.com/iptv.php?id=200500&sign=310102
安徽卫视,https://taoiptv.com/iptv.php?id=200600&sign=310102
广东卫视,https://taoiptv.com/iptv.php?id=200700&sign=310102
深圳卫视,https://taoiptv.com/iptv.php?id=200800&sign=310102
辽宁卫视,https://taoiptv.com/iptv.php?id=200900&sign=310102
海南卫视,https://taoiptv.com/iptv.php?id=201000&sign=310102
山东卫视,https://taoiptv.com/iptv.php?id=201100&sign=310102
天津卫视,https://taoiptv.com/iptv.php?id=201200&sign=310102
重庆卫视,https://taoiptv.com/iptv.php?id=201300&sign=310102
东南卫视,https://taoiptv.com/iptv.php?id=201400&sign=310102
甘肃卫视,https://taoiptv.com/iptv.php?id=201500&sign=310102
广西卫视,https://taoiptv.com/iptv.php?id=201600&sign=310102
贵州卫视,https://taoiptv.com/iptv.php?id=201700&sign=310102
河北卫视,https://taoiptv.com/iptv.php?id=201800&sign=310102
黑龙江卫视,https://taoiptv.com/iptv.php?id=201900&sign=310102
河南卫视,https://taoiptv.com/iptv.php?id=202000&sign=310102
湖北卫视,https://taoiptv.com/iptv.php?id=202100&sign=310102
江西卫视,https://taoiptv.com/iptv.php?id=202200&sign=310102
吉林卫视,https://taoiptv.com/iptv.php?id=202300&sign=310102
陕西卫视,https://taoiptv.com/iptv.php?id=202700&sign=310102
四川卫视,https://taoiptv.com/iptv.php?id=202800&sign=310102
云南卫视,https://taoiptv.com/iptv.php?id=203000&sign=310102
青海卫视,https://taoiptv.com/iptv.php?id=203200&sign=310102

影视频道,#genre#
广东影视,https://taoiptv.com/iptv.php?id=300700&sign=310102
广西影视,https://taoiptv.com/iptv.php?id=301600&sign=310102
河北影视,https://taoiptv.com/iptv.php?id=301800&sign=310102

国教频道,#genre#
中国教育4,https://taoiptv.com/iptv.php?id=400130&sign=310102
CGTN,https://taoiptv.com/iptv.php?id=400200&sign=310102

数字频道,#genre#
梨园频道,https://taoiptv.com/iptv.php?id=400900&sign=310102
中国天气,https://taoiptv.com/iptv.php?id=401300&sign=310102
快乐垂钓,https://taoiptv.com/iptv.php?id=404200&sign=310102

明星频道,#genre#
刘德华,https://taoiptv.com/iptv.php?id=700100&sign=310102
成龙,https://taoiptv.com/iptv.php?id=700200&sign=310102
周星驰,https://taoiptv.com/iptv.php?id=700300&sign=310102
林正英,https://taoiptv.com/iptv.php?id=700500&sign=310102
洪金宝,https://taoiptv.com/iptv.php?id=700600&sign=310102
周润发,https://taoiptv.com/iptv.php?id=700700&sign=310102

主题频道,#genre#
恐怖港片,https://taoiptv.com/iptv.php?id=800100&sign=310102
经典港片,https://taoiptv.com/iptv.php?id=800200&sign=310102
看电视剧,https://taoiptv.com/iptv.php?id=800300&sign=310102
玄幻系列,https://taoiptv.com/iptv.php?id=800400&sign=310102
警匪系列,https://taoiptv.com/iptv.php?id=800500&sign=310102
搞笑喜剧,https://taoiptv.com/iptv.php?id=800600&sign=310102
动作大片,https://taoiptv.com/iptv.php?id=800700&sign=310102
惊悚恐怖,https://taoiptv.com/iptv.php?id=800800&sign=310102
科幻大片,https://taoiptv.com/iptv.php?id=800900&sign=310102
变形金刚,https://taoiptv.com/iptv.php?id=801300&sign=310102
速度激情,https://taoiptv.com/iptv.php?id=801500&sign=310102
漫威英雄,https://taoiptv.com/iptv.php?id=801600&sign=310102

更新时间,#genre#
2024-03-31_15:14:36,https://taoiptv.com/time.mp4
Q群:881229313,https://fashiontv-fashiontv-1-eu.rakuten.wurl.tv/f711df33773d2dc83a1be49b8e841b00.m3u8
